[2.14,0.0]
[0.552788190139,17.5704364209]
[0.526713636852,17.6281984519]
[0.500555575683,17.6831656179]
[0.474318153864,17.7353292041]
[0.448005531212,17.7846809402]
[0.421621879465,17.8312130018]
[0.395171381622,17.8749180114]
[0.36865823128,17.9157890398]
[0.342086631972,17.9538196071]
[0.315460796493,17.9890036836]
[0.288784946242,18.0213356913]
[0.262063310543,18.050810504]
[0.235300125983,18.0774234485]
[0.208499635734,18.1011703056]
[0.181666088882,18.1220473103]
[0.154803739757,18.1400511526]
[0.127916847253,18.1551789781]
[0.101009674156,18.1674283885]
[0.0740864864667,18.1767974415]
[0.0471515527257,18.1832846518]
[0.0202091433357,18.1868889909]
[-0.00673647011564,18.1876098873]
[-0.0336810155324,18.1854472267]
[-0.0606202209882,18.180401352]
[-0.0875498154031,18.1724730632]
[-0.114465529221,18.1616636173]
[-0.141363095087,18.1479747281]
[-0.168238248522,18.1314085658]
[-0.195086728603,18.111967757]
[-0.221904278632,18.0896553839]
[-0.248686646819,18.0644749841]
[-0.275429586949,18.0364305497]
[-0.302128859059,18.0055265271]
[-0.32878023011,17.9717678159]
[-0.355379474656,17.9351597685]
[-0.381922375518,17.8957081888]
[-0.408404724446,17.8534193317]
[-0.434822322794,17.8082999019]
[-0.461170982181,17.7603570529]
[-0.487446525153,17.7095983858]
[-0.513644785853,17.6560319481]
[-0.539761610674,17.5996662325]
[-0.565792858919,17.5405101755]
[-0.591734403462,17.4785731561]
[-0.617582131397,17.413864994]
[-0.643331944692,17.3463959484]
[-0.66897976084,17.2761767162]
[-0.694521513505,17.2032184303]
[-0.719953153165,17.1275326579]
[-0.74527064776,17.0491313985]
[-0.770469983322,16.9680270825]
[-0.79554716462,16.8842325683]
[-0.82049821579,16.7977611414]
[-0.845319180963,16.7086265111]
[-0.870006124896,16.6168428096]
[-0.894555133594,16.5224245885]
[-0.918962314933,16.4253868174]
[-0.943223799271,16.3257448813]
[-0.967335740069,16.2235145778]
[-0.991294314496,16.118712115]
[-1.01509572404,16.011354109]
[-1.03873619509,15.9014575807]
[-1.06221197958,15.7890399538]
[-1.08551935554,15.6741190514]
[-1.10865462769,15.5567130938]
[-1.13161412804,15.4368406952]
[-1.15439421649,15.3145208605]
[-1.17699128135,15.1897729832]
[-1.19940173998,15.0626168414]
[-1.2216220393,14.933072595]
[-1.24364865639,14.8011607826]
[-1.26547809905,14.6669023183]
[-1.28710690632,14.5303184881]
[-1.30853164906,14.3914309466]
[-1.32974893047,14.2502617138]
[-1.35075538667,14.1068331714]
[-1.37154768718,13.9611680593]
[-1.39212253548,13.813289472]
[-1.41247666953,13.6632208549]
[-1.43260686228,13.5109860007]
[-1.4525099222,13.3566090454]
[-1.47218269374,13.2001144649]
[-1.49162205788,13.0415270704]
[-1.5108249326,12.8808720054]
[-1.52978827339,12.7181747408]
[-1.54850907371,12.5534610715]
[-1.56698436544,12.3867571122]
[-1.58521121944,12.2180892928]
[-1.60318674592,12.0474843548]
[-1.62090809494,11.8749693469]
[-1.63837245688,11.7005716204]
[-1.65557706285,11.5243188252]
[-1.67251918513,11.3462389054]
[-1.68919613764,11.1663600947]
[-1.70560527633,10.984710912]
[-1.72174399961,10.8013201568]
[-1.73760974877,10.616216905]
[-1.75320000835,10.4294305036]
[-1.76851230662,10.2409905668]
[-1.78354421587,10.0509269709]
[-1.79829335287,9.85926984938]
[-1.81275737921,9.66604958867]
[-1.82693400171,9.47129682287]
[-1.84082097271,9.27504242907]
[-1.85441609051,9.07731752247]
[-1.86771719967,8.87815345138]
[-1.88072219136,8.67758179229]
[-1.89342900371,8.47563434486]
[-1.90583562211,8.27234312688]
[-1.91794007955,8.06774036918]
[-1.92974045693,7.86185851053]
[-1.94123488336,7.6547301925]
[-1.95242153645,7.44638825428]
[-1.96329864262,7.23686572745]
[-1.97386447734,7.02619583081]
[-1.98411736547,6.81441196503]
[-1.99405568145,6.60154770742]
[-2.00367784961,6.38763680657]
[-2.0129823444,6.17271317701]
[-2.02196769065,5.95681089383]
[-2.03063246376,5.73996418729]
[-2.03897528999,5.52220743738]
[-2.04699484661,5.30357516838]
[-2.05468986217,5.08410204335]
[-2.06205911666,4.86382285871]
[-2.06910144171,4.64277253864]
[-2.07581572081,4.42098612959]
[-2.08220088943,4.19849879471]
[-2.08825593525,3.9753458083]
[-2.09397989825,3.75156255017]
[-2.09937187093,3.52718450006]
[-2.10443099843,3.30224723203]
[-2.10915647865,3.07678640878]
[-2.11354756237,2.85083777603]
[-2.11760355342,2.62443715683]
[-2.12132380874,2.3976204459]
[-2.12470773849,2.17042360393]
[-2.12775480619,1.94288265186]
[-2.13046452872,1.71503366521]
[-2.13283647647,1.48691276832]
[-2.13487027339,1.25855612865]
[-2.13656559702,1.02999995104]
[-2.13792217858,0.80128047195]
[-2.13893980298,0.572433953744]
[-2.1396183089,0.343496678922]
[-2.13995758876,0.114504944374]
[-2.13995758876,-0.114504944374]
[-2.1396183089,-0.343496678922]
[-2.13893980298,-0.572433953744]
[-2.13792217858,-0.80128047195]
[-2.13656559702,-1.02999995104]
[-2.13487027339,-1.25855612865]
[-2.13283647647,-1.48691276832]
[-2.13046452872,-1.71503366521]
[-2.12775480619,-1.94288265186]
[-2.12470773849,-2.17042360393]
[-2.12132380874,-2.3976204459]
[-2.11760355342,-2.62443715683]
[-2.11354756237,-2.85083777603]
[-2.10915647865,-3.07678640878]
[-2.10443099843,-3.30224723203]
[-2.09937187093,-3.52718450006]
[-2.09397989825,-3.75156255017]
[-2.08825593525,-3.9753458083]
[-2.08220088943,-4.19849879471]
[-2.07581572081,-4.42098612959]
[-2.06910144171,-4.64277253864]
[-2.06205911666,-4.86382285871]
[-2.05468986217,-5.08410204335]
[-2.04699484661,-5.30357516838]
[-2.03897528999,-5.52220743738]
[-2.03063246376,-5.73996418729]
[-2.02196769065,-5.95681089383]
[-2.0129823444,-6.17271317701]
[-2.00367784961,-6.38763680657]
[-1.99405568145,-6.60154770742]
[-1.98411736547,-6.81441196503]
[-1.97386447734,-7.02619583081]
[-1.96329864262,-7.23686572745]
[-1.95242153645,-7.44638825428]
[-1.94123488336,-7.6547301925]
[-1.92974045693,-7.86185851053]
[-1.91794007955,-8.06774036918]
[-1.90583562211,-8.27234312688]
[-1.89342900371,-8.47563434486]
[-1.88072219136,-8.67758179229]
[-1.86771719967,-8.87815345138]
[-1.85441609051,-9.07731752247]
[-1.84082097271,-9.27504242907]
[-1.82693400171,-9.47129682287]
[-1.81275737921,-9.66604958867]
[-1.79829335287,-9.85926984938]
[-1.78354421587,-10.0509269709]
[-1.76851230662,-10.2409905668]
[-1.75320000835,-10.4294305036]
[-1.73760974877,-10.616216905]
[-1.72174399961,-10.8013201568]
[-1.70560527633,-10.984710912]
[-1.68919613764,-11.1663600947]
[-1.67251918513,-11.3462389054]
[-1.65557706285,-11.5243188252]
[-1.63837245688,-11.7005716204]
[-1.62090809494,-11.8749693469]
[-1.60318674592,-12.0474843548]
[-1.58521121944,-12.2180892928]
[-1.56698436544,-12.3867571122]
[-1.54850907371,-12.5534610715]
[-1.52978827339,-12.7181747408]
[-1.5108249326,-12.8808720054]
[-1.49162205788,-13.0415270704]
[-1.47218269374,-13.2001144649]
[-1.4525099222,-13.3566090454]
[-1.43260686228,-13.5109860007]
[-1.41247666953,-13.6632208549]
[-1.39212253548,-13.813289472]
[-1.37154768718,-13.9611680593]
[-1.35075538667,-14.1068331714]
[-1.32974893047,-14.2502617138]
[-1.30853164906,-14.3914309466]
[-1.28710690632,-14.5303184881]
[-1.26547809905,-14.6669023183]
[-1.24364865639,-14.8011607826]
[-1.2216220393,-14.933072595]
[-1.19940173998,-15.0626168414]
[-1.17699128135,-15.1897729832]
[-1.15439421649,-15.3145208605]
[-1.13161412804,-15.4368406952]
[-1.10865462769,-15.5567130938]
[-1.08551935554,-15.6741190514]
[-1.06221197958,-15.7890399538]
[-1.03873619509,-15.9014575807]
[-1.01509572404,-16.011354109]
[-0.991294314496,-16.118712115]
[-0.967335740069,-16.2235145778]
[-0.943223799271,-16.3257448813]
[-0.918962314933,-16.4253868174]
[-0.894555133594,-16.5224245885]
[-0.870006124896,-16.6168428096]
[-0.845319180963,-16.7086265111]
[-0.82049821579,-16.7977611414]
[-0.79554716462,-16.8842325683]
[-0.770469983322,-16.9680270825]
[-0.74527064776,-17.0491313985]
[-0.719953153165,-17.1275326579]
[-0.694521513505,-17.2032184303]
[-0.66897976084,-17.2761767162]
[-0.643331944692,-17.3463959484]
[-0.617582131397,-17.413864994]
[-0.591734403462,-17.4785731561]
[-0.565792858919,-17.5405101755]
[-0.539761610674,-17.5996662325]
[-0.513644785853,-17.6560319481]
[-0.487446525153,-17.7095983858]
[-0.461170982181,-17.7603570529]
[-0.434822322794,-17.8082999019]
[-0.408404724446,-17.8534193317]
[-0.381922375518,-17.8957081888]
[-0.355379474656,-17.9351597685]
[-0.32878023011,-17.9717678159]
[-0.302128859059,-18.0055265271]
[-0.275429586949,-18.0364305497]
[-0.248686646819,-18.0644749841]
[-0.221904278632,-18.0896553839]
[-0.195086728603,-18.111967757]
[-0.168238248522,-18.1314085658]
[-0.141363095087,-18.1479747281]
[-0.114465529221,-18.1616636173]
[-0.0875498154031,-18.1724730632]
[-0.0606202209882,-18.180401352]
[-0.0336810155324,-18.1854472267]
[-0.00673647011565,-18.1876098873]
[0.0202091433357,-18.1868889909]
[0.0471515527257,-18.1832846518]
[0.0740864864667,-18.1767974415]
[0.101009674156,-18.1674283885]
[0.127916847253,-18.1551789781]
[0.154803739757,-18.1400511526]
[0.181666088882,-18.1220473103]
[0.208499635734,-18.1011703056]
[0.235300125983,-18.0774234485]
[0.262063310543,-18.050810504]
[0.288784946242,-18.0213356913]
[0.315460796493,-17.9890036836]
[0.342086631972,-17.9538196071]
[0.36865823128,-17.9157890398]
[0.395171381622,-17.8749180114]
[0.421621879465,-17.8312130018]
[0.448005531212,-17.7846809402]
[0.474318153864,-17.7353292041]
[0.500555575683,-17.6831656179]
[0.526713636852,-17.6281984519]
[0.552788190139,-17.5704364209]
[0.578775101551,-17.5098886827]
[0.604670250988,-17.4465648369]
[0.630469532902,-17.3804749233]
[0.656168856942,-17.31162942]
